0.1,0.2,-0.3,-0.05,-0.05,-0.05,0.15,0.22,-0.28,-0.05,-0.05,0.05,0.08,0.19,-0.32,-0.05,0.05,-0.05,0.12,0.25,-0.27,-0.05,0.05,0.05,0.09,0.18,-0.31,0.05,-0.05,-0.05,0.11,0.21,-0.29,0.05,-0.05,0.05,0.13,0.23,-0.33,0.05,0.05,-0.05,0.14,0.24,-0.34,0.05,0.05,0.05
0.11,0.21,-0.29,-0.05,-0.05,-0.05,0.16,0.23,-0.27,-0.05,-0.05,0.05,0.09,0.2,-0.31,-0.05,0.05,-0.05,0.13,0.26,-0.26,-0.05,0.05,0.05,0.1,0.19,-0.3,0.05,-0.05,-0.05,0.12,0.22,-0.28,0.05,-0.05,0.05,0.14,0.24,-0.32,0.05,0.05,-0.05,0.15,0.25,-0.33,0.05,0.05,0.05
0.12,0.22,-0.28,-0.05,-0.05,-0.05,0.17,0.24,-0.26,-0.05,-0.05,0.05,0.1,0.21,-0.3,-0.05,0.05,-0.05,0.14,0.27,-0.25,-0.05,0.05,0.05,0.11,0.2,-0.29,0.05,-0.05,-0.05,0.13,0.23,-0.27,0.05,-0.05,0.05,0.15,0.25,-0.31,0.05,0.05,-0.05,0.16,0.26,-0.32,0.05,0.05,0.05
0.13,0.23,-0.27,-0.05,-0.05,-0.05,0.18,0.25,-0.25,-0.05,-0.05,0.05,0.11,0.22,-0.29,-0.05,0.05,-0.05,0.15,0.28,-0.24,-0.05,0.05,0.05,0.12,0.21,-0.28,0.05,-0.05,-0.05,0.14,0.24,-0.26,0.05,-0.05,0.05,0.16,0.26,-0.3,-0.05,0.05,-0.05,0.17,0.27,-0.31,0.05,0.05,0.05
0.14,0.24,-0.26,-0.05,-0.05,-0.05,0.19,0.26,-0.24,-0.05,-0.05,0.05,0.12,0.23,-0.28,-0.05,0.05,-0.05,0.16,0.29,-0.23,-0.05,0.05,0.05,0.13,0.22,-0.27,0.05,-0.05,-0.05,0.15,0.25,-0.25,0.05,-0.05,0.05,0.17,0.27,-0.29,0.05,0.05,-0.05,0.18,0.28,-0.3,0.05,0.05,0.05
0.15,0.25,-0.25,-0.05,-0.05,-0.05,0.2,0.27,-0.23,-0.05,-0.05,0.05,0.13,0.24,-0.27,-0.05,0.05,-0.05,0.17,0.3,-0.22,-0.05,0.05,0.05,0.14,0.23,-0.26,0.05,-0.05,-0.05,0.16,0.26,-0.24,0.05,-0.05,0.05,0.18,0.28,-0.28,0.05,0.05,-0.05,0.19,0.29,-0.29,0.05,0.05,0.05
0.16,0.26,-0.24,-0.05,-0.05,-0.05,0.21,0.28,-0.22,-0.05,-0.05,0.05,0.14,0.25,-0.26,-0.05,0.05,-0.05,0.18,0.31,-0.21,-0.05,0.05,0.05,0.15,0.24,-0.25,0.05,-0.05,-0.05,0.17,0.27,-0.23,0.05,-0.05,0.05,0.19,0.29,-0.27,0.05,0.05,-0.05,0.2,0.3,-0.28,0.05,0.05,0.05
0.17,0.27,-0.23,-0.05,-0.05,-0.05,0.22,0.29,-0.21,-0.05,-0.05,0.05,0.15,0.26,-0.25,-0.05,0.05,-0.05,0.19,0.32,-0.20,-0.05,0.05,0.05,0.16,0.25,-0.24,0.05,-0.05,-0.05,0.18,0.28,-0.22,0.05,-0.05,0.05,0.2,0.3,-0.26,0.05,0.05,-0.05,0.21,0.31,-0.27,0.05,0.05,0.05
0.18,0.28,-0.22,-0.05,-0.05,-0.05,0.23,0.3,-0.20,-0.05,-0.05,0.05,0.16,0.27,-0.24,-0.05,0.05,-0.05,0.2,0.33,-0.19,-0.05,0.05,0.05,0.17,0.26,-0.23,0.05,-0.05,-0.05,0.19,0.29,-0.21,0.05,-0.05,0.05,0.21,0.31,-0.25,0.05,0.05,-0.05,0.22,0.32,-0.26,0.05,0.05,0.05
0.19,0.29,-0.21,-0.05,-0.05,-0.05,0.24,0.31,-0.19,-0.05,-0.05,0.05,0.17,0.28,-0.23,-0.05,0.05,-0.05,0.21,0.34,-0.18,-0.05,0.05,0.05,0.18,0.27,-0.22,0.05,-0.05,-0.05,0.2,0.3,-0.20,0.05,-0.05,0.05,0.22,0.32,-0.24,0.05,0.05,-0.05,0.23,0.33,-0.25,0.05,0.05,0.05
